"","cof1","exp1","exp2","resp"
"1","e",2.95682814279589,43.1280906355145,35
"2","d",2.19370437793622,11.9847486058617,28
"3","a",0.107963218392849,35.9130947148993,45
"4","c",-1.03294855042521,65.1608465491603,94
"5","a",0.304907648522881,47.7938023533978,70
"6","a",-1.44493615788231,42.3608773042847,70
"7","e",-0.868679283984859,28.5236276487795,8
"8","b",1.30534941700066,41.827497486042,81
"9","a",-0.909286065035986,41.5156395561391,72
"10","c",-0.166123581769472,49.1122659925028,65
"11","e",-2.75977091972789,43.3375958681044,89
"12","e",-1.63718813881906,31.7632944426292,76
"13","b",1.60266283723155,28.6198532214231,45
"14","e",-1.46163855725312,40.4187000353224,50
"15","c",-0.507050031547981,26.2183779052065,71
"16","d",0.769184549577874,32.0469353370145,30
"17","b",-0.260813024347396,43.8329355834723,81
"18","b",-0.881748850461162,21.17643842495,20
"19","c",1.01557019973954,38.8053741842109,78
"20","a",0.941135840621953,48.1308604720271,87
"21","b",2.96508075754729,35.6177167322594,75
"22","b",-0.609497696053849,26.0169913154187,55
"23","b",-0.638906923072508,14.9742022957942,39
"24","d",5.36173597657518,36.4578998423242,102
"25","a",-2.77652185334939,39.3292246938664,64
"26","a",-0.175193787823542,39.5346182978536,49
"27","c",-2.12762356248544,41.2453029393755,74
"28","a",-0.0125035202415977,32.4177794091329,71
"29","d",-1.68630570649035,67.7750056229283,98
"30","e",2.66805155943123,30.3398293674119,61
"31","b",0.270900951829676,42.5225154181983,88
"32","c",0.61438721745707,28.0822319428093,60
"33","b",-0.462276070018989,35.3234175774608,68
"34","d",2.26376165908933,54.6894415328896,86
"35","d",-4.7502322365873,52.8594303417822,69
"36","d",-0.958112348874464,40.5299616240254,61
"37","a",1.25238986537682,62.2223603332077,123
"38","a",0.385165740449345,38.8945921117919,69
"39","c",-1.94966387737351,47.7933097089081,70
"40","c",2.7922778377573,25.8104254638821,87
"41","e",0.861604496499643,46.07831069366,87
"42","d",2.26324515663374,35.6670817381775,74
"43","a",-2.31864161871228,59.3051327026686,94
"44","c",1.09595142748844,68.5092944261566,79
"45","a",-1.69367394211005,47.1916651072179,59
"46","a",-1.15376619905341,36.5677107941197,87
"47","e",3.16020552304474,31.3051979115027,45
"48","b",-3.51648147087974,10.391911504242,30
"49","a",-2.01598964915826,42.8191664772916,68
"50","c",-0.900559544237201,44.3650565783514,54
"51","e",3.60198940024542,13.8884866489231,40
"52","e",-1.53791226640438,24.8162370467033,51
"53","b",0.0836817793425739,4.5335332263937,33
"54","e",2.56337442408242,42.7732425840729,54
"55","c",0.236166441790522,34.6916378142044,64
"56","d",2.48869126017221,38.4381423940219,83
"57","b",0.735974260186126,30.5770267144755,48
"58","b",3.39649188456761,29.9153957974316,58
"59","c",2.62992815842042,30.9970961570118,88
"60","a",1.80633012281614,22.0140216079561,80
"61","b",-0.710681244486081,31.6539655969077,93
"62","b",4.29730009609612,45.8371494330668,69
"63","b",-2.30335503275821,49.5460422028824,48
"64","d",-0.820739504176609,66.0626812333121,40
"65","a",-1.47447372262929,42.5134040508445,59
"66","a",0.240191626227759,52.2504475214023,53
"67","c",0.223498858151146,58.447648079028,58
"68","a",-1.35575640979152,59.5512401390228,85
"69","d",3.75712458543801,43.4150215753692,56
"70","e",0.415491309358684,13.5720954563951,59
"71","b",-0.163077293672725,32.6491467436484,82
"72","c",-1.81473923677199,48.3249453407172,71
"73","b",1.32004273297074,51.5979674762563,111
"74","d",3.0961071994216,52.771243559989,112
"75","d",1.30745959290047,42.9032825399043,83
"76","d",-1.9246478324358,31.9488083372431,54
"77","a",2.9251380113004,63.4090737094645,112
"78","a",3.20527691080515,51.3692363758238,78
"79","c",0.889978217198212,30.0486102526543,55
"80","c",1.6264985706029,40.2540824509477,46
"81","e",2.82752382517304,35.3470002927643,53
"82","d",-0.696635094212997,50.7619403887292,73
"83","a",0.274033377427281,58.5044125373725,98
"84","c",-0.921676480710153,58.859118548213,96
"85","a",-0.65857212869651,19.2149595166831,68
"86","a",1.50757323455641,37.6374804741481,73
"87","e",-0.0844959189243437,14.3938142137395,50
"88","b",1.31530794218764,20.9003320661312,23
"89","a",-2.01200548280871,22.9080853221197,53
"90","c",1.79933920857775,50.7664513392872,70
"91","e",1.31216778635388,26.7505769373879,77
"92","e",-0.229279967526927,38.1897458960545,27
"93","b",0.543715940383286,52.6768281788924,73
"94","e",-2.76083140191988,49.2168628609716,72
"95","c",0.579409074949775,55.3271659382776,74
"96","d",3.06039359024051,47.7929879828051,104
"97","b",0.465291918638883,35.8359581195503,62
"98","b",2.78643912048984,39.3744473830592,78
"99","c",1.09709260578907,25.8800925185916,61
"100","a",-0.679291651243626,43.1503650382426,73
"101","b",2.95925019207594,18.3480718584606,26
"102","b",2.42581419141201,51.8936025106291,73
"103","b",-2.14361264482508,40.2091569338019,53
"104","d",1.23090952619725,29.1326713737833,72
"105","a",1.31286103605123,55.9008098567645,42
"106","a",1.16262394803788,65.8919329715284,82
"107","c",-3.47625509430944,64.9966451325611,75
"108","a",-2.07313066010004,53.1044099655513,56
"109","d",6.86656002781359,66.0422480833024,138
"110","e",-4.05027767834599,32.5718025799143,65
"111","b",-1.9707375252831,48.3344301935759,78
"112","c",0.0668189068020612,58.2241079448931,106
"113","b",-0.553331709373383,29.1966054005069,94
"114","d",2.52369689973351,50.9602759931183,90
"115","d",-0.00877182929264481,43.4239485095021,69
"116","d",-2.70171135947612,34.0978358405572,63
"117","a",1.98597154949385,63.2134605519833,111
"118","a",0.637740480561367,28.6312274724186,71
"119","c",0.976520782802362,66.3064130176912,95
"120","c",0.0908635454975547,42.0755647417777,57
